,Nazwa stanowiska,Nazwa firmy,Lokalizacja,Wynagrodzenie,Opis stanowiska
49,Data Scientist,Crowder Consulting,Norwich,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
50,Data Scientist for IoT and Machine Learning - KTP Associate,Barclays,Manchester,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
51,Data Scientist: Analytical Data – Publications,Williams Lea,London SE1,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
52,Data Scientist (Recommendations Systems),Welsh Water,Glasgow,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
53,Senior Data Scientist,East of England Co-operative Society,United Kingdom,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
54,Junior Data Scientist,GoCompare,United Kingdom,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
55,Senior Data Scientist,Veea Group,West Yorkshire,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
56,DATA SCIENTIST,NetRev,London,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
57,Data Scientist,Indeed Prime,Birkenhead,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
58,Data Scientist - Wind Energy,Williams Lea,Glasgow,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
59,Data Scientist,DeepReason.ai,Norwich,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
60,Data Scientist at Oxford AI startup,Oldbaum Services Ltd,Manchester,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
61,Data Scientist,The University of Manchester,London SE1,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
62,Deals Investigative Analytics - Data Scientist - Birmingham,Public Health England,Glasgow,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
64,"Data Scientist Consultant / Senior Consultant, Finance, Consulting, London",REPLY,United Kingdom,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
66,Junior Data Scientist,Pro-Quest Resourcing,London,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
67,Data Scientist – Model Validation,Lloyds Banking Group,Birkenhead,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
68,Data Scientist,Crowder Consulting,Glasgow,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
69,Senior Data Scientist,Barclays,Norwich,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
70,"Senior Data Scientist Part time, Full time jobshare and flexwork",Williams Lea,Manchester,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
71,Data Scientist,Welsh Water,London SE1,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
72,Graduate / Junior Data Scientist,East of England Co-operative Society,Glasgow,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
73,DATA SCIENTIST,GoCompare,United Kingdom,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
74,Junior Data Scientist,Veea Group,United Kingdom,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
75,Senior Data Scientist,NetRev,West Yorkshire,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
76,Data Scientist - Wind Energy,Indeed Prime,London,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
77,Data Scientist,Williams Lea,Birkenhead,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
79,Data Scientist,Oldbaum Services Ltd,Norwich,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
80,Senior Data Scientist,The University of Manchester,Manchester,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
81,"Senior Data Scientist Part time, Full time jobshare and flexwork",Public Health England,London SE1,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
82,Junior Data Scientist,Morgan Stanley,Glasgow,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
83,Graduate Data Analytics / Reporting Analyst,REPLY,United Kingdom,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
84,Data Scientist,REPLY,United Kingdom,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
85,Senior Data Scientist,Pro-Quest Resourcing,West Yorkshire,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
86,Senior Data Scientist,Lloyds Banking Group,London,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
87,Chocolate Scientist I - Specifications 6 Month FTC *Multiple vacancies*,Crowder Consulting,Birkenhead,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
88,Data Scientist - Electricity Distribution,Barclays,Glasgow,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
89,Data Scientist,Williams Lea,Norwich,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
90,Graduate / Junior Data Scientist,Welsh Water,Manchester,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
91,DATA SCIENTIST,East of England Co-operative Society,London SE1,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
92,Junior Data Scientist,GoCompare,Glasgow,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
93,Senior Data Scientist,Veea Group,United Kingdom,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
94,Apprentice Data Scientist - 10010685,NetRev,United Kingdom,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
95,Data Scientist - Wind Energy,Indeed Prime,West Yorkshire,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
96,Data Scientist at Oxford AI startup,Williams Lea,London,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
97,Data Scientist,DeepReason.ai,Birkenhead,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
99,Data Scientist,The University of Manchester,Norwich,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
100,Graduate Data Scientist,Public Health England,Manchester,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
101,Associate Data Scientist,Morgan Stanley,London SE1,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
103,Graduate / Junior Data Scientist,REPLY,United Kingdom,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
104,Data Scientist,Pro-Quest Resourcing,United Kingdom,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
105,Data Scientist - KTP Associate,Lloyds Banking Group,West Yorkshire,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
106,Data Scientist,Crowder Consulting,London,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
107,Data Scientist,Barclays,Birkenhead,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
108,Data Scientist,Williams Lea,Glasgow,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
109,Data Scientist,Welsh Water,Norwich,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
110,Junior Data Scientist,East of England Co-operative Society,Manchester,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
111,Apprentice Data Scientist - 10010685,GoCompare,London SE1,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
112,DATA SCIENTIST,Veea Group,Glasgow,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
113,Data Scientist,NetRev,United Kingdom,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
114,Data Scientist - Wind Energy,Indeed Prime,United Kingdom,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
115,Data Scientist,Williams Lea,West Yorkshire,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
116,Data Scientist at Oxford AI startup,DeepReason.ai,London,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
117,Data Scientist,Oldbaum Services Ltd,Birkenhead,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
119,Data Scientist,Public Health England,Norwich,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
120,Data Scientist,Morgan Stanley,Manchester,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
121,Applied Mathematician (Data Scientist),REPLY,London SE1,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
123,Junior Data Scientist,Pro-Quest Resourcing,United Kingdom,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
124,Data Science Intern,Lloyds Banking Group,United Kingdom,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
125,Data Scientist,Crowder Consulting,West Yorkshire,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
126,Data Scientist: Analytical Product Development,Barclays,London,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
127,"Statistician/Data Scientist Part time, Full time, jobshare and flexwork",Williams Lea,Birkenhead,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
128,Graduate / Junior Data Scientist,Welsh Water,Glasgow,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
129,DATA SCIENTIST,East of England Co-operative Society,Norwich,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
130,Junior Data Scientist,GoCompare,Manchester,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
131,Senior Data Scientist,Veea Group,London SE1,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
132,Apprentice Data Scientist - 10010685,NetRev,Glasgow,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
134,Data Scientist at Oxford AI startup,Williams Lea,United Kingdom,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
135,Data Scientist,DeepReason.ai,West Yorkshire,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
136,Data Scientist,Oldbaum Services Ltd,London,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
137,Data Scientist,The University of Manchester,Birkenhead,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
138,Data Scientist,Public Health England,Glasgow,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
139,HIV STI Surveillance & Prevention Scientist,Morgan Stanley,Norwich,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
140,R&D Associate Scientist (Mat Cover),REPLY,Manchester,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
141,Data Scientist,REPLY,London SE1,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
142,Data Scientist (Climate Hazards),Pro-Quest Resourcing,Glasgow,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
143,Data Scientist (9 month FTC),Lloyds Banking Group,United Kingdom,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
144,Junior Data Scientist,Crowder Consulting,United Kingdom,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
145,R&D Scientist (Process development and scale-up),Barclays,West Yorkshire,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
146,Machine Learning Engineer / Data Scientist,Williams Lea,London,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
147,Data Scientist,Welsh Water,Birkenhead,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
148,Junior Data Scientist,East of England Co-operative Society,Glasgow,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
149,Apprentice Data Scientist - 10010685,GoCompare,Norwich,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
150,DATA SCIENTIST,Veea Group,Manchester,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
151,Data Scientist,NetRev,London SE1,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
153,Data Scientist - Wind Energy,Williams Lea,United Kingdom,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
154,Data Scientist,DeepReason.ai,United Kingdom,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
155,Data Scientist at Oxford AI startup,Oldbaum Services Ltd,West Yorkshire,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
156,Data Scientist,The University of Manchester,London,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
157,Data Scientist,Public Health England,Birkenhead,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
158,Quantitative Researcher - Data Scientist,Morgan Stanley,Glasgow,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
159,Data Scientist,REPLY,Norwich,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
160,Associate Scientist- Biophysical and antibody-target binding characterisation,REPLY,Manchester,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
161,Data Scientist,Pro-Quest Resourcing,London SE1,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
162,Graduate Data Scientist,Lloyds Banking Group,Glasgow,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
164,Data Scientist,Barclays,United Kingdom,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
165,Analytical Development Scientist,Williams Lea,West Yorkshire,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
166,Data Scientist - Apprenticeship,Welsh Water,London,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
167,Graduate / Junior Data Scientist,East of England Co-operative Society,Birkenhead,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
168,DATA SCIENTIST,GoCompare,Glasgow,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
169,Junior Data Scientist,Veea Group,Norwich,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
170,Senior Data Scientist,NetRev,Manchester,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
171,Apprentice Data Scientist - 10010685,Indeed Prime,London SE1,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
174,Data Scientist at Oxford AI startup,Oldbaum Services Ltd,United Kingdom,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
175,Data Scientist,The University of Manchester,West Yorkshire,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
